,L1,YEAR,PR,D,F,DOLLARS,L2,OUTLET,UNITS
0,0,2008,209,11,931,7096.06,4,0,1728
1,1,2008,262,95,1448,6263.88,10,0,4362
2,2,2008,39,0,208,1120.32,14,0,430
3,0,2009,290,44,1150,7665.73,4,0,1632
4,1,2009,324,258,1686,7898.74,10,0,5051
5,2,2009,51,0,244,1312.32,14,0,420
6,0,2010,296,81,1242,8726.99,4,0,1972
7,1,2010,359,132,1763,7721.47,10,0,5163
8,2,2010,53,0,215,1112.83,14,0,355
9,0,2011,224,5,1122,9244.18,4,0,1763
10,1,2011,380,200,1838,8208.54,10,0,4959
11,2,2011,60,0,211,983.82,14,0,302
12,0,2007,3,3,13,161.81,4,0,50
13,1,2007,9,0,24,102.38,12,0,63
14,2,2007,0,0,2,16.66,14,0,4
15,0,2008,102,68,523,6556.83,4,0,1561
16,1,2008,151,280,1125,5738.59,10,0,3302
17,2,2008,10,3,80,760.0,14,0,153
18,0,2009,173,158,650,7132.84,4,0,1496
19,1,2009,188,265,1108,5634.61,10,0,3009
20,2,2009,15,2,73,865.81,14,0,158
21,0,2010,289,153,980,10174.38,4,0,2378
22,1,2010,245,304,1200,5558.95,10,0,3050
23,2,2010,27,2,105,820.24,14,0,168
24,0,2011,322,109,1196,14778.83,4,0,2720
25,1,2011,172,249,1174,5824.1,10,0,3188
26,2,2011,26,0,136,1074.03,14,0,220
27,0,2007,0,0,6,38.2,4,0,10
28,1,2007,2,4,18,148.58,8,0,103
29,2,2007,0,0,3,23.55,14,0,5
30,0,2008,28,0,480,3555.39,4,0,667
31,1,2008,207,271,1337,14063.92,8,0,9972
32,2,2008,3,0,159,1319.85,14,0,245
33,0,2009,31,8,453,3531.73,4,0,600
34,1,2009,247,395,1689,16523.85,10,0,10310
35,2,2009,0,1,130,1056.09,14,0,181
36,0,2010,48,36,377,3015.52,4,0,461
37,1,2010,185,587,1899,16834.3,10,0,10750
38,2,2010,7,4,103,797.79,14,0,129
39,0,2011,35,37,331,3083.77,4,0,457
40,1,2011,167,443,1810,15847.39,10,0,9871
41,2,2011,5,0,71,564.05,14,0,95
42,0,2007,4,0,17,120.33,6,0,30
43,1,2007,18,16,59,242.62,10,0,176
44,2,2007,1,0,8,37.41,14,0,24
45,0,2008,294,0,1346,12411.02,4,0,2675
46,1,2008,448,566,2076,12300.2,10,0,8617
47,2,2008,65,0,288,1430.14,14,0,525
48,0,2009,312,45,1243,10355.96,4,0,2098
49,1,2009,362,532,1907,13315.84,10,0,7847
50,2,2009,69,0,288,1508.88,14,0,490
51,0,2010,299,17,1347,10815.71,4,0,2303
52,1,2010,485,532,2116,13714.71,10,0,8368
53,2,2010,74,0,271,1420.64,14,0,479
54,0,2011,322,18,1321,12077.77,4,0,2280
55,1,2011,370,275,1940,12511.53,10,0,6796
56,2,2011,57,0,231,1079.62,14,0,356
57,0,2007,11,0,29,427.61,4,0,94
58,1,2007,15,15,79,985.66,10,0,595
59,2,2007,1,0,12,166.13,14,0,82
60,0,2008,411,3,2055,36072.27,4,0,7185
61,1,2008,312,576,2430,43991.34,10,0,23728
62,2,2008,73,0,466,6950.02,14,0,2263
63,0,2009,510,29,1978,36642.7,4,0,6895
64,1,2009,370,479,2468,47195.7,10,0,22592
65,2,2009,98,4,484,6599.68,14,0,1743
66,0,2010,424,41,2013,35493.82,4,0,7194
67,1,2010,426,553,2915,49089.85,10,0,24377
68,2,2010,80,13,462,6585.46,14,0,1793
69,0,2011,425,11,2115,45052.16,4,0,7640
70,1,2011,678,953,3815,60572.4,10,0,28036
71,2,2011,97,10,498,7494.72,14,0,1975
72,0,2007,3,0,13,100.71,4,0,15
73,1,2007,9,1,35,177.84,10,0,155
74,2,2007,1,0,2,32.09,14,0,11
75,0,2008,178,28,895,6990.13,4,0,1277
76,1,2008,228,197,1298,6639.49,10,0,4952
77,2,2008,55,7,225,1267.47,14,0,387
78,0,2009,208,13,808,5653.93,4,0,1053
79,1,2009,227,133,1370,6260.38,10,0,4084
80,2,2009,49,0,197,995.54,14,0,310
81,0,2010,225,77,852,5508.11,6,0,1172
82,1,2010,293,101,1482,6827.07,10,0,4133
83,2,2010,48,1,216,822.88,14,0,245
84,0,2011,201,116,732,5694.22,6,0,1018
85,1,2011,420,222,1706,8071.89,10,0,5419
86,2,2011,23,0,98,454.96,14,0,116
87,0,2007,8,4,30,319.47,4,0,63
88,1,2007,11,8,46,184.82,10,0,171
89,2,2007,2,0,8,97.09,14,0,31
90,0,2008,295,95,1542,17734.17,4,0,3153
91,1,2008,303,282,1401,8124.35,10,0,5224
92,2,2008,66,10,301,3346.11,14,0,1030
93,0,2009,291,41,1366,19372.24,4,0,3400
94,1,2009,454,551,2021,13429.35,10,0,8328
95,2,2009,63,1,326,3685.28,14,0,1041
96,0,2010,355,117,1402,20948.81,4,0,3826
97,1,2010,422,509,2168,13284.08,10,0,8641
98,2,2010,55,10,331,3360.41,14,0,1024
99,0,2011,388,211,1373,23393.63,4,0,3701
100,1,2011,493,303,2227,13982.11,10,0,8213
101,2,2011,43,0,194,1987.23,14,0,538
102,0,2007,8,0,21,214.99,4,0,70
103,1,2007,16,13,73,535.86,10,0,434
104,2,2007,1,0,10,115.54,14,0,76
105,0,2008,408,10,1578,25447.71,4,0,5904
106,1,2008,488,711,2434,22537.02,10,0,17452
107,2,2008,110,0,392,6036.64,14,0,2269
108,0,2009,422,132,1471,24183.11,4,0,5398
109,1,2009,417,890,2408,25259.24,10,0,18537
110,2,2009,103,16,344,4589.7,14,0,1592
111,0,2010,377,58,1602,22655.28,4,0,5203
112,1,2010,465,681,2550,24562.63,10,0,17190
113,2,2010,90,4,371,4011.36,14,0,1394
114,0,2011,390,5,1508,23335.0,4,0,4560
115,1,2011,438,286,2381,23325.47,10,0,15356
116,2,2011,89,2,358,2967.02,14,0,997
117,0,2007,1,2,11,150.14,4,0,26
118,1,2007,9,17,26,70.58,10,0,54
119,2,2007,2,2,5,20.33,14,0,7
120,0,2008,161,132,698,5654.94,4,0,949
121,1,2008,293,453,1558,5995.99,10,0,4120
122,2,2008,36,32,119,495.08,14,0,159
123,0,2009,167,0,630,4815.26,4,0,792
124,1,2009,292,157,1733,7457.47,10,0,4562
125,2,2009,42,0,158,668.68,14,0,207
126,0,2010,156,0,647,4541.26,4,0,788
127,1,2010,414,574,2001,7449.99,10,0,4505
128,2,2010,32,0,148,596.15,14,0,182
129,0,2011,124,2,575,4307.71,6,0,654
130,1,2011,520,668,1727,6952.16,10,0,4213
131,2,2011,20,0,71,275.38,14,0,77
132,0,2007,4,2,19,177.27,4,0,59
133,1,2007,11,6,42,201.17,8,0,171
134,2,2007,1,0,5,37.62,14,0,38
135,0,2008,264,7,1099,10259.71,4,0,2475
136,1,2008,343,414,1693,10591.1,10,0,8474
137,2,2008,61,3,232,2400.88,14,0,912
138,0,2009,256,25,982,8670.54,4,0,2027
139,1,2009,247,275,1300,9677.79,10,0,6993
140,2,2009,58,9,237,1671.06,14,0,534
141,0,2010,256,8,1064,9330.74,4,0,2460
142,1,2010,310,201,1604,10377.65,10,0,7766
143,2,2010,55,0,249,1452.81,14,0,506
144,0,2011,209,13,886,7370.98,4,0,1789
145,1,2011,288,116,1434,9106.12,10,0,6439
146,2,2011,46,0,205,1010.48,14,0,327
147,0,2007,2,0,7,64.41,4,0,9
148,1,2007,4,0,22,25.18,10,0,18
149,2,2007,2,0,4,14.95,14,0,5
150,0,2008,77,10,356,1981.26,4,0,408
151,1,2008,96,30,432,732.55,10,0,467
152,2,2008,20,0,79,320.84,14,0,106
153,0,2007,7,4,26,176.17,4,0,37
154,1,2007,20,9,68,274.4,10,0,219
155,2,2007,2,0,9,54.42,14,0,18
156,0,2008,293,35,1435,13977.46,4,0,2488
157,1,2008,409,500,2091,11912.28,10,0,8294
158,2,2008,69,0,276,1796.14,14,0,593
159,0,2009,330,58,1293,13725.58,4,0,2597
160,1,2009,346,550,1891,12886.83,10,0,8506
161,2,2009,80,0,292,1818.5,14,0,577
162,0,2010,337,100,1271,12740.53,4,0,2373
163,1,2010,549,646,2206,13829.85,10,0,8857
164,2,2010,81,2,277,1545.13,14,0,471
165,0,2011,318,48,1207,12794.57,4,0,2174
166,1,2011,816,525,2262,12628.75,10,0,8118
167,2,2011,71,3,183,1086.19,14,0,318
168,0,2007,5,5,12,61.02,4,0,11
169,1,2007,5,4,20,24.79,10,0,19
170,2,2007,3,4,3,15.66,14,0,4
171,0,2008,30,40,109,464.48,4,0,97
172,1,2008,128,105,497,927.54,10,0,651
173,2,2008,20,29,43,200.51,14,0,52
174,0,2009,18,6,70,194.31,4,0,39
175,1,2009,153,152,472,985.54,10,0,697
176,2,2009,5,1,16,89.22,14,0,24
177,0,2010,96,52,416,1607.56,4,0,305
178,1,2010,147,101,523,1261.11,10,0,815
179,2,2010,5,0,24,72.83,14,0,17
180,0,2011,84,15,300,1416.8,4,0,239
181,1,2011,183,122,569,1367.32,10,0,906
182,2,2011,5,0,21,88.13,14,0,21
183,0,2007,2,0,5,13.07,4,0,3
184,1,2007,3,12,13,25.82,10,0,13
185,2,2007,0,0,1,2.69,14,0,1
186,0,2008,67,6,305,1228.19,4,0,218
187,1,2008,245,468,599,1099.88,10,0,688
188,2,2008,16,0,69,149.22,14,0,48
189,0,2009,88,38,330,1221.47,4,0,213
190,1,2009,235,354,563,1070.44,10,0,655
191,2,2009,3,2,32,88.42,14,0,26
192,0,2010,92,26,344,1347.38,4,0,244
193,1,2010,209,293,575,1117.67,10,0,663
194,2,2010,9,0,40,88.14,14,0,26
195,0,2011,102,21,366,1695.48,4,0,278
196,1,2011,226,366,590,1240.28,10,0,830
197,2,2011,0,0,14,57.44,14,0,17
198,0,2007,5,2,20,117.04,4,0,22
199,1,2007,10,9,32,87.83,10,0,40
200,2,2007,1,1,2,11.66,14,0,4
201,0,2008,176,114,685,3535.87,4,0,639
202,1,2008,454,526,1146,3435.9,10,0,1909
203,2,2008,20,25,76,287.83,14,0,93
204,0,2009,152,46,541,2717.34,4,0,500
205,1,2009,388,538,1103,3637.07,10,0,1852
206,2,2009,16,13,53,241.94,14,0,74
207,0,2010,149,67,572,3171.3,4,0,559
208,1,2010,348,468,1148,3301.56,10,0,1715
209,2,2010,19,4,62,191.59,14,0,52
210,0,2011,139,41,532,3596.76,4,0,542
211,1,2011,340,425,1090,3292.6,10,0,1716
212,2,2011,6,0,27,126.26,14,0,32
213,0,2007,2,2,6,8.49,4,0,2
214,1,2007,5,1,15,12.4,8,0,12
215,2,2007,1,0,1,5.98,14,0,2
216,0,2008,87,12,419,1754.42,4,0,345
217,1,2008,156,155,634,1028.84,10,0,640
218,2,2008,11,3,59,141.28,14,0,46
219,0,2009,104,75,381,1420.25,4,0,294
220,1,2009,144,164,538,947.06,10,0,566
221,2,2009,12,5,55,151.33,14,0,46
222,0,2010,128,64,512,1940.11,4,0,398
223,1,2010,161,177,480,888.69,10,0,559
224,2,2010,15,0,65,165.83,14,0,59
225,0,2011,123,31,435,1943.37,4,0,350
226,1,2011,193,127,544,1104.87,10,0,706
227,2,2011,7,0,41,110.99,14,0,39
228,0,2007,0,0,4,22.98,4,0,4
229,1,2007,2,4,5,4.53,8,0,5
230,0,2008,56,14,313,1330.56,4,0,215
231,1,2008,200,285,582,1176.89,10,0,774
232,2,2008,19,0,55,161.88,14,0,44
233,0,2009,58,10,234,1191.88,4,0,196
234,1,2009,293,404,653,1773.16,10,0,1039
235,2,2009,8,0,36,145.28,14,0,37
236,0,2010,91,62,324,1238.32,4,0,236
237,1,2010,377,454,787,2216.77,10,0,1161
238,2,2010,9,0,54,173.11,14,0,45
239,0,2011,75,83,299,1571.73,4,0,220
240,1,2011,317,399,688,1800.48,10,0,955
241,2,2011,5,2,21,109.26,14,0,27
242,1,2007,4,2,11,26.0,8,0,15
243,0,2008,24,27,87,318.95,4,0,71
244,1,2008,83,52,325,457.76,10,0,314
245,2,2008,0,0,1,3.99,14,0,1
246,0,2007,1,0,3,2.22,4,0,1
247,1,2007,1,0,6,13.41,10,0,9
248,0,2008,75,0,300,1728.12,4,0,395
249,1,2008,104,123,638,1503.38,10,0,927
250,2,2008,6,0,29,154.29,14,0,32
251,0,2009,81,3,323,1851.5,4,0,416
252,1,2009,111,99,583,1187.94,10,0,747
253,2,2009,2,0,22,125.31,14,0,41
254,0,2010,75,10,301,1662.53,4,0,399
255,1,2010,72,86,431,781.76,10,0,478
256,2,2010,7,0,35,215.43,14,0,76
257,0,2007,4,4,11,30.94,4,0,8
258,1,2007,15,15,51,75.73,10,0,99
259,2,2007,1,2,4,7.98,14,0,2
260,0,2008,178,108,764,3982.89,4,0,721
261,1,2008,421,789,1592,4689.6,10,0,4030
262,2,2008,41,31,156,576.61,14,0,167
263,0,2009,186,44,681,3672.63,4,0,654
264,1,2009,447,717,1702,5826.86,10,0,4625
265,2,2009,32,26,118,476.46,14,0,138
266,0,2010,163,59,729,3781.58,4,0,715
267,1,2010,415,531,1570,4859.77,10,0,3119
268,2,2010,31,2,139,474.45,14,0,146
269,0,2011,153,46,654,3714.43,4,0,648
270,1,2011,567,767,1764,5571.02,10,0,3494
271,2,2011,20,2,86,344.69,14,0,91
272,0,2007,4,1,10,39.5,4,0,13
273,1,2007,9,5,22,53.4,8,0,40
274,0,2008,105,62,411,4036.07,4,0,1068
275,1,2008,230,229,844,3048.2,10,0,1735
276,2,2008,5,1,29,180.09,14,0,32
277,0,2009,138,77,446,4096.09,4,0,921
278,1,2009,179,209,714,2237.85,10,0,1115
279,2,2009,1,0,18,135.76,14,0,25
280,0,2010,209,104,669,5310.62,4,0,1173
281,1,2010,235,266,739,2291.28,10,0,1210
282,2,2010,7,2,30,163.1,14,0,48
283,0,2011,209,152,714,8232.23,4,0,1485
284,1,2011,212,228,782,2836.91,10,0,1483
285,2,2011,7,1,36,190.77,14,0,48
